X,Y,PID,SSL,PMPROPERTYID,UBID,PROPERTYNAME,PMPARENTPROPERTYID,PARENTPROPERTYNAME,ADDRESSOFRECORD,OWNEROFRECORD,WARD,REPORTEDADDRESS,CITY,STATE,POSTALCODE,YEARBUILT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,REPORTEDBUILDINGGROSSFLOORAREA,BEPS,BEPS_METRIC_TYPE,PROPERTY_BEPS_METRIC_YEAR,BEPS_PROPERTY_GROUP,PROPERTY_BEPS_METRIC,DISTANCE_FROM_BEPS_ESTIMATED,PERFORMANCE_REQUIREMENT_EST,MEETS_BEPS,LASTUPDATE,LATITUDE,LONGITUDE,XCOORD,YCOORD,MAR_ID,GIS_ID,GLOBALID,OBJECTID
-77.0809971375486,38.9475582142018,PM12004401,1729 0808,12004401,,Tenley-Friendship Library,,,4130 ALBEMARLE STREET NW,DISTRICT OF COLUMBIA,3,4450 Wisconsin Avenue NW,WASHINGTON,DC,20016,2011,Library,14219,21472.0,206,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Library,257.6,-20.03%,-20.00%,Does Not Meet BEPS,2023/09/19 04:00:00+00,38.94755042,-77.08099483,392978.87964278,142186.91706185,284921,,{0639A2BF-CF11-2945-E063-782F520A104C},258145
-77.0469772707727,38.9031671991346,PM12004402,0073 0886,12004402,,Thaddeus Stevens Early Learning Center (Stevens School),,,1050 21ST STREET NW,DISTRICT OF COLUMBIA,2,1050 21ST STREET NW,WASHINGTON,DC,20037,1980,K-12 School,39500,38573.0,36,ENERGYSTARSCORE,2019,K-12 School,100,,,Meets BEPS,2023/07/14 04:00:00+00,38.90315941,-77.04697497,395925.39020929,137257.06977216,294506,,{0639A2BF-CF12-2945-E063-782F520A104C},258146
-76.9628156227435,38.8576222265397,PM12004403,PAR 02140185,12004403,,Hillcrest Recreation Center,,,3100 ERIE STREET SE,DISTRICT OF COLUMBIA,7,3100 Denver Street SE,WASHINGTON,DC,20020,2004,Fitness Center/Health Club/Gym,174155,21628.0,206,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Recreation,267.7,-23.05%,-20.00%,Does Not Meet BEPS,2023/09/22 04:00:00+00,38.85761445,-76.96281335,403227.63029211,132200.84049835,296174,,{0639A2BF-CF13-2945-E063-782F520A104C},258147
-76.9923764084782,38.8986771443593,PM12004404,0960 0802,12004404,,House of Ruth Shelter,,,651 10TH STREET NE,DISTRICT OF COLUMBIA,6,651 10TH STREET NE,WASHINGTON,DC,20002,1889,Other - Lodging/Residential,18060,18837.0,143,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Lodging,180.6,-20.82%,-20.00%,Does Not Meet BEPS,2023/09/19 04:00:00+00,38.89866936,-76.99237413,400661.50977412,136757.61742783,1409,,{0639A2BF-CF14-2945-E063-782F520A104C},258148
-76.9299499082831,38.9054231114866,PM12004405,5174 0105,12004405,,Houston Elementary School,,,1100 50TH PLACE NE,DISTRICT OF COLUMBIA,7,1100 50TH PLACE NE,WASHINGTON,DC,20019,1962,K-12 School,54957,59900.0,36,ENERGYSTARSCORE,2019,K-12 School,13,-24.41%,-20.00%,Does Not Meet BEPS,2023/05/04 04:00:00+00,38.90541532,-76.92994765,406076.14967349,137508.77704535,156316,,{0639A2BF-CF15-2945-E063-782F520A104C},258149
-77.0645317837163,38.9081126949636,PM12004406,1244 0854,12004406,,Hyde-Addison Elementary,,,3219 O STREET NW,DISTRICT OF COLUMBIA,2,3219 O Street NW,WASHINGTON,DC,20007,2019,K-12 School,36528,65831.0,36,ENERGYSTARSCORE,2019,K-12 School,100,,,Meets BEPS,2023/09/19 04:00:00+00,38.90810491,-77.06452948,394403.09996462,137806.99027323,294558,,{0639A2BF-CF16-2945-E063-782F520A104C},258150
-76.99659130435,38.9027657870979,PM12004407,0856 0809,12004407,,J.O. Wilson Elementary School,,,660 K STREET NE,DISTRICT OF COLUMBIA,6,660 K STREET NE,WASHINGTON,DC,20002,1961,K-12 School,55464,98900.0,36,ENERGYSTARSCORE,2019,K-12 School,22,-14.28%,-20.00%,Does Not Meet BEPS,2023/09/21 04:00:00+00,38.902758,-76.99658902,400295.87014798,137211.46719796,288841,,{0639A2BF-CF17-2945-E063-782F520A104C},258151
-77.0809971375486,38.9475582142018,PM12004408,1729 0808,12004408,,Janney Elementary School,,,4130 ALBEMARLE STREET NW,DISTRICT OF COLUMBIA,3,4130 ALBEMARLE STREET NW,WASHINGTON,DC,20016,2010,K-12 School,14219,94920.0,36,ENERGYSTARSCORE,2019,K-12 School,16,-20.84%,-20.00%,Does Not Meet BEPS,2023/09/21 04:00:00+00,38.94755042,-77.08099483,392978.87964278,142186.91706185,285713,,{0639A2BF-CF18-2945-E063-782F520A104C},258152
-77.0229410825204,38.8799152205872,PM12004409,0439 0023,12004409,,Jefferson Middle School,,,801 7TH STREET SW,DISTRICT OF COLUMBIA HOUSING AUTHORITY,6,801 7TH STREET SW,WASHINGTON,DC,20024,1939,K-12 School,123478,114974.0,36,ENERGYSTARSCORE,2019,K-12 School,9,-29.76%,-20.00%,Does Not Meet BEPS,2023/09/19 04:00:00+00,38.87990744,-77.02293879,398009.64026606,134675.12029996,276812,,{0639A2BF-CF19-2945-E063-782F520A104C},258153
-77.0668299411862,38.9157207505667,PM12004410,1299 1010,12004410,,Jelleff Recreation Center and Pool,,,3265 S STREET NW,DISTRICT OF COLUMBIA,3,3265 S STREET NW,WASHINGTON,DC,20007,1987,Fitness Center/Health Club/Gym,20630,21304.0,206,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Recreation,136.5,,,Meets BEPS,2023/07/14 04:00:00+00,38.91571296,-77.06682764,394204.38964244,138651.68981216,273636,,{0639A2BF-CF1A-2945-E063-782F520A104C},258154
-77.0313551677751,38.8950104730341,PM12004411,0255 0800,12004411,,John A. Wilson Building,,,1350 PENNSYLVANIA AVENUE NW,DISTRICT OF COLUMBIA,2,1350 Pennsylvania Avenue NW,WASHINGTON,DC,20004,1904,Office,278242,268381.0,71,ENERGYSTARSCORE,2019,Office_all,32,-41.28%,-20.00%,Does Not Meet BEPS,2023/07/14 04:00:00+00,38.89500269,-77.03135287,397280.1404147,136351.02733145,293203,,{0639A2BF-CF1B-2945-E063-782F520A104C},258155
-76.9838420033131,38.8513823580406,PM12004412,5876 0940,12004412,,Johnson Middle School,,,1530 BRUCE STREET SE,DISTRICT OF COLUMBIA,8,1400 BRUCE PLACE SE,WASHINGTON,DC,20020,1962,K-12 School,232095,173815.0,36,ENERGYSTARSCORE,2019,K-12 School,40,,,Meets BEPS,2023/09/06 04:00:00+00,38.85137458,-76.98383973,401402.75980637,131507.63710494,294520,,{0639A2BF-CF1C-2945-E063-782F520A104C},258156
-76.9324572607571,38.8933227880517,PM12004413,5187 0823,12004413,,Kelly Miller Middle School,,,301 49TH ST NE,DISTRICT OF COLUMBIA,7,301 49TH STREET NE,WASHINGTON,DC,20019,2004,K-12 School,162221,122281.0,36,ENERGYSTARSCORE,2019,K-12 School,28,-8.11%,-20.00%,Does Not Meet BEPS,2023/09/18 04:00:00+00,38.893315,-76.932455,405859.66288413,136165.38114545,294476,,{0639A2BF-CF1D-2945-E063-782F520A104C},258157
-76.9404872101167,38.9082368660697,PM12004414,5101 0016,12004414,,Kenilworth Recreation Center and Pool,,,1300 44TH STREET NE,DISTRICT OF COLUMBIA,7,4321 Ord Street NE,WASHINGTON,DC,20019,2015,Fitness Center/Health Club/Gym,60621,59150.0,206,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Recreation,111.9,,,Meets BEPS,2023/09/22 04:00:00+00,38.90822907,-76.94048494,405161.9704006,137820.47755662,314577,,{0639A2BF-CF1E-2945-E063-782F520A104C},258158
